수준,날짜 및 시간,원본,이벤트 ID,작업 범주
정보,2025-11-21 오후 4:40:11,Service Control Manager,7040,없음,Microsoft Defender 바이러스 백신 부팅 드라이버 서비스의 시작 유형을 부팅 시작에서 요청 시 시작(으)로 바꿨습니다.
정보,2025-11-21 오후 4:40:11,Service Control Manager,7040,없음,Microsoft Defender 바이러스 백신 서비스 서비스의 시작 유형을 자동 시작에서 요청 시 시작(으)로 바꿨습니다.
정보,2025-11-21 오후 4:40:10,Service Control Manager,7040,없음,Microsoft Defender Core Service 서비스의 시작 유형을 자동 시작에서 요청 시 시작(으)로 바꿨습니다.
오류,2025-11-21 오후 4:39:45,Service Control Manager,7022,없음,Delivery Optimization 서비스가 시작하는 동안 멈췄습니다.
오류,2025-11-21 오후 4:39:29,Microsoft-Windows-TPM-WMI,1801,없음,"Secure Boot CA/keys need to be updated. This device signature information is included here.
DeviceAttributes: BaseBoardManufacturer:Intel Corporation;FirmwareManufacturer:VMware, Inc.;FirmwareVersion:VMW71.00V.13989454.B64.1906190538;OEMModelNumber:VMware7,1;OEMModelBaseBoard:440BX Desktop Reference Platform;OEMModelSystemFamily:;OEMManufacturerName:VMware, Inc.;OEMModelSKU:;OSArchitecture:amd64;
BucketId: 4f0ff51ea09c72e148b5b01d8c80e214c96e696f1568cf86ef1a581ff81bec7a
BucketConfidenceLevel: 
UpdateType: 0
HResult: 작업을 완료했습니다."
정보,2025-11-21 오후 4:35:43,Microsoft-Windows-Winlogon,7001,(1101),사용자 환경 개선 프로그램용 사용자 로그온 알림
오류,2025-11-21 오후 4:35:32,Service Control Manager,7000,없음,"다음 오류로 인해 SplunkForwarder 서비스를 시작하지 못했습니다. 
서비스가 시작이나 제어 요청에 빠르게 응답하지 않았습니다."
오류,2025-11-21 오후 4:35:32,Service Control Manager,7009,없음,SplunkForwarder 서비스 연결을 기다리는 동안 제한 시간에 도달했습니다(45000밀리초).
정보,2025-11-21 오후 4:35:26,Service Control Manager,7026,없음,"다음의 부팅-시작 또는 시스템-시작 드라이버를 로드하지 못했습니다. 
dam
uiomap"
정보,2025-11-21 오후 4:35:17,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,"URL 그룹(0xFE00000020000001)에 URL(http://*:5357/3103d3cc-1dde-43d4-8811-1c0b6cc39709/)을 추가하려고 했습니다. 상태: 0x0. 프로세스 ID 0xE8C 실행 파일 경로 \Device\HarddiskVolume3\Windows\System32\svchost.exe, 사용자 LOCAL SERVICE"
